nusoc;cdepso;cvilso;sexsoc;bgesso;aadhso;anaiso;mnaiso;jnaiso;cspsoc;sitmat;nbenf;accmai;accsms;sitpav1
16300;62;620;1;166;2023;1963;5;30;40;NC;0;1;1;Non abonné
16398;13;008;1;33;2023;1989;2;27;40;N;0;1;1;Non abonné
16408;98;890;1;157;2023;1982;7;11;80;NC;0;1;1;Non abonné
16455;57;160;1;103;2023;1956;10;15;40;O;0;1;1;Abonné
16503;06;200;1;41;2023;1971;5;8;20;NC;0;1;1;Non abonné
16530;13;008;2;33;2023;1996;6;10;30;O;0;1;1;Non abonné
16704;07;100;1;13;2023;1967;1;12;40;O;0;1;2;Non abonné
16833;73;190;1;64;2023;1979;3;1;40;O;0;1;1;Non abonné
17020;14;830;1;111;2023;1975;7;31;30;N;0;2;1;Non abonné
17236;74;000;1;64;2023;1975;2;8;40;O;0;2;1;Non abonné
17262;33;440;1;9;2023;1989;1;2;20;N;0;1;1;Non abonné
17461;45;750;1;122;2023;1956;7;11;30;N;0;1;1;Non abonné
17502;49;000;1;66;2023;1985;8;26;80;N;0;1;1;Non abonné
17598;66;300;1;11;2023;1975;11;13;40;N;0;1;1;Non abonné
17624;21;310;1;131;2023;1984;6;2;50;O;0;1;1;Non abonné
17666;27;470;2;27;2023;1971;4;27;40;N;0;1;1;Non abonné
17719;49;630;1;66;2023;1994;5;10;40;O;0;1;1;Non abonné
17776;97;355;1;155;2023;1994;10;7;80;NC;0;1;1;Non abonné
17798;06;340;2;41;2023;1985;2;1;63;N;0;1;1;Non abonné
17848;34;070;1;11;2023;1970;5;16;12;O;0;1;1;Non abonné
17912;33;000;1;9;2023;1991;7;8;80;O;0;1;1;Non abonné
17981;94;200;1;92;2023;1977;5;19;80;NC;0;1;1;Non abonné
17991;63;530;1;62;2023;1995;8;3;63;N;0;1;1;Non abonné
18018;97;300;1;155;2023;1980;10;14;80;NC;0;2;1;Non abonné
18110;64;210;2;104;2023;1956;2;10;80;O;0;2;0;Non abonné
18123;77;360;1;92;2023;1990;6;16;40;N;0;1;1;Non abonné
18230;54;700;1;151;2023;1978;6;30;50;O;0;1;1;Non abonné
18341;75;006;2;90;2023;1989;1;30;14;N;0;1;1;Non abonné
18773;24;260;1;105;2023;1996;6;1;80;NC;0;1;1;Non abonné
18787;34;270;1;11;2023;1971;8;9;63;N;0;1;1;Non abonné
18800;83;190;1;30;2023;1991;1;1;40;NC;0;1;0;Non abonné
18801;49;330;1;66;2023;1989;12;12;40;O;0;1;1;Non abonné
18954;24;450;1;105;2023;1983;9;14;50;O;0;1;1;Non abonné
18996;63;460;1;62;2023;1994;4;2;40;N;0;1;1;Non abonné
19073;63;960;1;62;2023;1991;7;24;40;N;0;1;1;Non abonné
19155;37;270;1;84;2023;1990;6;6;14;N;0;1;1;Non abonné
19156;86;140;1;113;2023;1990;3;19;80;NC;0;2;0;Non abonné
19311;71;110;1;51;2023;1989;2;5;40;N;0;1;1;Non abonné
19322;16;560;1;9;2023;1994;9;15;40;N;0;1;1;Non abonné
19348;74;370;1;64;2023;1967;8;5;40;O;0;1;1;Non abonné
19371;74;150;1;64;2023;1979;4;16;40;O;0;1;1;Non abonné
19485;01;150;1;51;2023;1982;11;27;30;NC;0;1;1;Non abonné
19550;97;300;1;155;2023;1956;3;28;80;NC;0;2;1;Non abonné
19743;17;430;1;9;2023;1954;8;27;61;O;0;2;1;Non abonné
19764;59;270;1;166;2023;1989;2;10;30;O;0;1;1;Abonné
19930;13;600;1;33;2023;1990;3;22;20;O;0;1;1;Non abonné
19989;97;351;2;155;2023;1979;10;8;80;NC;0;2;1;Non abonné
20065;60;750;1;138;2023;1985;8;16;40;N;0;2;0;Non abonné
20083;33;570;1;9;2023;1994;10;16;63;O;0;1;1;Non abonné
20141;69;530;1;51;2023;1982;9;27;40;NC;0;1;1;Non abonné
20157;74;330;1;64;2023;1995;10;7;40;O;0;1;1;Non abonné
20192;74;340;1;64;2023;1985;1;20;50;O;0;1;1;Non abonné
20324;33;510;1;9;2023;1958;11;30;20;NC;0;1;1;Non abonné
20338;64;250;1;104;2023;1995;4;20;62;N;0;1;1;Non abonné
20447;13;008;1;33;2023;1979;11;2;80;NC;0;1;1;Non abonné
20449;26;260;1;112;2023;1985;11;23;50;NC;0;1;0;Non abonné
20516;21;800;1;131;2023;1995;10;3;40;O;0;1;1;Non abonné
20608;87;590;1;105;2023;1961;6;19;20;O;0;1;1;Non abonné
20773;51;600;1;151;2023;1986;5;2;64;NC;0;1;1;Non abonné
20794;40;130;1;147;2023;1988;8;12;40;N;0;1;1;Non abonné
20842;98;800;2;157;2023;1972;5;30;80;NC;0;2;1;Non abonné
20917;59;114;2;166;2023;1972;6;9;40;N;0;1;1;Non abonné
21074;39;300;1;131;2023;1960;4;5;40;N;0;1;0;Non abonné
21082;69;590;1;51;2023;1974;4;4;40;O;0;1;1;Non abonné
