nusoc;nucon;cateco;g01co;g02co;g03co;g04co;g05co;g06co;g09co;g10co;g13co;g15co;g16co;g17co;g18co;g19co;g21co;g22co;g23co;g25co;g26co;g28co;clasco;tar6co;bomaco;fracco;acreco;mcreco;jcreco;prmaco;usagco1
16300;1;M;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;1,00;A;2023;1;1;207,95;0
16398;4;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,50;A;2024;8;1;662,37;0
16408;1;M;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;N;0,64;A;2023;1;5;481,31;0
16455;2;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;3;;1,00;M;2023;1;5;143,59;0
16455;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;1;5;324,80;0
16503;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,50;A;2023;1;26;358,40;1
16530;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,80;A;2024;3;4;538,12;0
16704;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,50;M;2024;3;17;652,70;0
16833;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,50;M;2023;2;5;495,76;0
17020;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2023;1;19;411,84;0
17020;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;1;19;203,25;0
17236;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;N;0,50;A;2023;1;20;337,85;0
17262;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,64;A;2023;1;23;592,55;0
17461;1;C;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;;0,90;M;2023;1;22;702,77;0
17502;1;C;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;;1,00;A;2023;1;24;587,87;0
17598;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;1;27;413,98;0
17624;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;3;2;238,61;0
17666;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;;0,95;A;2023;1;28;441,66;0
17719;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;;0,95;A;2023;1;29;401,53;0
17776;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,95;A;2023;1;29;404,24;0
17798;1;C;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;;0,90;M;2023;1;29;832,61;0
17848;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;7;;0,50;M;2023;2;1;533,29;0
17912;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,80;M;2023;2;2;301,41;0
17912;3;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;3;;1,00;M;2024;9;22;157,82;0
17981;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;2;3;386,83;0
