nusoc;nucon;famgta;markli;apcoco;acircu;mcircu;utimot;pfco
16300;1;10000000000000000;VOXAN;STREET SCRAMBLER;2006;11;SB;9
16398;4;1000;HONDA;CB 1000R;2011;8;SB;9
16408;1;0950;KTM;ADVENTURE;2006;2;TM;9
16455;2;0400;KAWASAKI;KH;1980;6;RS;5
16455;1;1200;TRIUMPH;BONNEVILLE T120;2018;2;B;11
16503;1;0250;PEUGEOT;GEOPOLIS CITY;2008;6;SGR;3
16530;2;0620;DUCATI;MONSTER IE DARK 34CV;2003;6;BS;6
16704;2;1200;TRIUMPH;BONNEVILLE T120 BLAC;2018;3;B;11
16833;1;0900;KAWASAKI;ZX-9R NINJA;2002;5;HYS;8
17020;1;1000;KAWASAKI;Z1000 IE;2005;3;SB;9
17020;2;0500;HONDA;CB 500;1996;7;B;5
17236;1;06000000000000000;YAMAHA;FZR;1992;5;ST;6
17262;1;0750;KAWASAKI;Z 750-N IE;2008;7;SB;7
17461;1;0050;RIEJU;MRT PRO;2013;3;TS;0
17502;1;00500000000000000;PIAGGIO;VESPA PRIMAVERA 2T;2015;1;SCB;0
17598;1;1300;YAMAHA;XJR IE;2008;1;BS;12
17624;1;0600;KAWASAKI;ZX-6R NINJA;1998;5;SS;6
17666;1;0125;HONDA;CBR;2006;10;RS;1
17719;1;0500;HONDA;CB-S 34CV;1998;1;B;5
17776;1;0050;PGO;PMX;2014;7;SCS;0
17798;1;0050;APRILIA;SPORCITY ONE;2010;1;SGR;0
17848;1;1200;BMW;R1200RT;2017;2;GT;11
17912;1;0400;HONDA;CX;1982;8;B;5
17912;3;0650;BMW;R65 RT;1980;3;B;7
17981;1;0050;YAMASAKI;PRO50;2015;1;SS;0
17981;2;0050;YIYING;ROMANCIA;2015;2;SCB;0
17991;1;0500;HONDA;CBR 500RA;2019;9;B;5
18018;1;0050;PEUGEOT;LUDIX TREND;2012;1;SCB;0
18110;1;0125;YAMAHA;MT-125 ABS;2015;2;B;1
18123;1;0450;KTM;EXC RACING MTT1;2006;1;EN;5
18230;2;1000;APRILIA;"RS-V MILLE ""MODIFIEE";2001;6;SS;9
18230;3;1250;BMW;R1250GS ADVENTURE;2021;12;TM;12
18341;1;0050;YIYING;OLDIES;2015;1;SCB;0
18773;1;0050;MBK;PHENIX;2006;6;B;0
18787;1;0125;ZONGSHEN;TRAIL ZS REPLICA;2015;2;T;1
18800;3;0125;HONDA;CM-C;1999;10;CU;1
18801;1;1500;KAWASAKI;VN DRIFTER;2000;5;CU;13
18954;1;0125;ZONTES;SCRAMBLER;2021;6;B;1
18996;1;0500;KAWASAKI;ER-5 (34CV);1998;6;B;5
19073;1;06000000000000000;YAMAHA;FZS FAZER 34CV;2003;9;BS;6
19155;1;0696;DUCATI;MONSTER+;2008;12;BS;7
19155;2;0900;DUCATI;MONSTER IE;2000;4;BS;9
19156;1;0750;KAWASAKI;Z 750-N IE;2006;10;SB;7
19311;1;0750;HONDA;VFR-F;1988;1;ST;7
19322;2;0900;YAMAHA;TRACER 900GT;2018;5;BS;8
19322;1;0350;YAMAHA;QUAD YFM-R;2011;4;QM2;4
19322;3;0125;TERROT;TYPE ETD;1955;6;B;1
19348;1;0750;HONDA;VFR-F;1991;1;ST;7
19371;1;0750;HONDA;NC750XD DCT;2023;9;B;7
19485;1;0300;BETAMOTOR;RR 2T RACING;2017;1;EN;4
19550;1;0050;PGO;BIG MAX NAKED;2012;6;SCS;0
19743;2;0944;DUCATI;ST2 (SPORT-TOURING2);1997;10;ST;9
19743;1;0860;DUCATI;860 SS;1979;3;B;8
19764;1;0600;SUZUKI;BANDIT;1998;8;BS;6
19930;1;0650;KAWASAKI;ER-6N ABS;2010;4;BS;7
19989;1;0050;PIAGGIO;TYPHOON XR;2009;10;SCS;0
20065;1;02500000000000000;KTM;EXC 2T MTT1;2006;5;EN;3
20083;1;0650;SUZUKI;BANDIT IE 34CV;2007;8;BS;7
20141;1;0600;HONDA;HORNET;2001;2;SB;6
20141;2;0600;HONDA;HORNET;2001;2;SB;6
20157;1;0650;KAWASAKI;KLR;1999;5;T;7
20192;1;0426;YAMAHA;WR-F;2002;3;EN;5
20324;3;1000;BMW;R100RT CLASSIC;1989;5;GT;9
20324;7;0125;PIAGGIO;VESPA PX FL;2007;12;SCB;1
20324;5;0050;VELOSOLEX;5000;1972;5;B;0
20324;1;1000;BMW;R100R;1993;4;B;9
20338;1;0600;YAMAHA;XTE;1990;7;T;6
20447;1;0125;HONDA;SH-I;2013;3;SGR;1
20447;3;0200;VESPA;PX200E;1986;4;SCB;3
20447;4;0050;PIAGGIO;CIAO;1981;1;B;0
20449;1;0650;HONDA;XR-R;2003;1;EN;7
20516;1;0750;KAWASAKI;Z 750-N IE;2008;7;SB;7
20608;1;0300;PIAGGIO;MP3 LT BUSINESS;2015;3;S32;4
20773;1;06000000000000000;KAWASAKI;ZX-6R NINJA 'R' IE;2006;5;HYS;6
20773;3;1000;HONDA;"CBR-RR FIREBLADE ""HR";2012;6;HYS;9
20794;1;1300;YAMAHA;XJR IE;2009;8;BS;12
20842;1;0050;SYM;MIO;2013;3;SCB;0
20917;1;0800;BMW;F800R 'MODIFIEE CIRC;2014;9;B;9
21074;1;1450;HARLEY-DAVIDSON;ROAD KING;2005;6;GT;13
21082;3;1200;BMW;R1200GS ABS  PACK;2015;6;TMR;11
21112;1;0600;HONDA;CB-F IE ABS;2009;1;B;6
21128;1;0125;KYMCO;ZING;1998;5;CU;1
21128;2;0300;PIAGGIO;MP3 LT YOURBAN;2014;2;S32;4
21211;1;0700;HONDA;NC700SA C-ABS;2013;9;B;7
21259;1;1200;BMW;R1200ST ABS;2005;6;ST;11
21273;1;1250;HARLEY-DAVIDSON;NIGHT-ROD SPECIAL;2008;10;BS;11
21343;1;0650;KAWASAKI;ER-6F;2013;5;SS;7
21350;1;0750;KAWASAKI;Z 750-N IE;2007;12;SB;7
21418;1;0500;HONDA;CB 500F 34CV;2004;9;B;5
21465;2;0600;HONDA;CBR;1993;4;ST;6
21475;2;1200;HARLEY-DAVIDSON;SPORTSTER CUSTOM;2004;10;CU;11
21486;1;1200;HARLEY-DAVIDSON;SPORTSTER FORTY-EIGH;2013;5;B;11
21560;1;0125;PEUGEOT;TWEET;2015;4;SGR;1
21593;2;0883;HARLEY-DAVIDSON;SPORTSTER CUSTOM;2004;7;CU;9
21593;4;0650;SUZUKI;V-STROM 34CV;2006;5;TMR;7
21593;3;0650;YAMAHA;DRAG STAR;1998;11;CU;7
21612;1;0600;YAMAHA;THUNDERCAT (YZF-R);2002;4;ST;6
21623;1;0700;YAMAHA;XSR700 35KW;2016;10;B;7
21642;1;0900;TRIUMPH;BONNEVILLE T100;2005;9;B;8
21709;1;0660;KTM;SMC SUPERMOTO;2005;4;SM;7
21712;2;0125;YAMAHA;XT-R;2006;5;T;1
21712;1;0750;HONDA;AFRICA TWIN;1994;1;TM;7
21731;1;0650;BSA;THUNDERBOLT;1969;6;B;7
21802;2;0500;HONDA;CB 500;2002;10;B;5
21935;2;06500000000000000;SUZUKI;DR 650 RSE;1996;5;T;7
21981;2;0070;HONDA;DAX;1989;6;B;1
21981;1;0800;HONDA;PACIFIC COAST (PC800;1992;12;GT;8
22025;1;0500;HONDA;CB 500;2001;6;B;5
22207;1;0600;YAMAHA;FZ6;2005;6;SB;6
22213;1;0750;KAWASAKI;Z 750-S IE;2005;7;BS;7
22277;2;0500;HONDA;CB 500;1995;5;B;5
22277;5;0500;HONDA;CB 500;1995;5;B;5
22432;3;0300;GAS GAS;EC RACING;2018;1;EN;4
22481;1;11000000000000000;MOTO GUZZI;CALIFORNIA EV;1999;8;GT;10
22571;1;0750;HONDA;VT SHADOW;1997;4;CU;7
22571;2;1690;HARLEY-DAVIDSON;DYNA STREET BOB;2017;6;CU;15
22624;1;0510;HUSQVARNA;SM-R CENTENNIAL;2005;1;SM;6
22624;3;10000000000000000;APRILIA;RS-T FUTURA;2003;1;ST;9
22794;1;0125;HONDA;VARADERO IE;2010;7;TMR;1
22805;1;0290;SHERCO;X-RIDE USAGE TT;2014;4;EN;3
22811;2;0250;SHERCO;ST 2.5;2014;12;TR;3
22822;1;0800;DUCATI;SCRAMBLER ICON;2015;3;B;8
22931;3;0500;HONDA;CBR 500RA;2017;10;B;5
22954;1;0050;PEUGEOT;ELYSTAR ADVANTAGE;2013;1;SCG;0
22977;1;0800;GILERA;GP800;2011;8;SCS;9
23069;1;0600;HONDA;CB-F IE ABS;2009;3;B;6
23081;1;0500;SUZUKI;GS-E;1986;5;B;5
23094;1;0050;FUJIANG;GREENWHEEL GW1 (ELEC;2012;3;B;0
23126;1;0250;YAMAHA;YB-R;2008;7;B;3
